"2014/03/12 02:10:30","11322","0","85","6358m","960m","1414.00","46791"
"2014/03/12 02:10:33","11322","0","85","6358m","961m","1427.00","46790"
"2014/03/12 02:10:37","11322","0","85","6358m","961m","1453.00","46791"
"2014/03/12 02:10:40","11322","0","85","6358m","961m","1458.00","46792"
"2014/03/12 02:10:43","11322","0","85","6358m","961m","1458.00","46791"
"2014/03/12 02:10:47","11322","0","85","6358m","961m","1432.00","46791"
"2014/03/12 02:10:50","11322","0","85","6358m","961m","1434.00","46790"
"2014/03/12 02:10:53","11322","0","85","6358m","961m","1369.00","46791"
"2014/03/12 02:10:56","11322","0","85","6358m","961m","1452.00","46791"
"2014/03/12 02:11:00","11322","0","85","6358m","961m","1492.00","46789"
"2014/03/12 02:11:03","11322","0","85","6358m","961m","1444.00","46790"
"2014/03/12 02:11:06","11322","0","85","6358m","961m","1465.00","46790"
"2014/03/12 02:11:09","11322","0","85","6358m","962m","1456.00","46790"
"2014/03/12 02:11:13","11322","0","85","6358m","961m","1460.00","46790"
"2014/03/12 02:11:16","11322","0","85","6358m","961m","1434.00","46791"
"2014/03/12 02:11:19","11322","0","85","6358m","961m","1468.00","46790"
"2014/03/12 02:11:22","11322","0","85","6358m","961m","1460.00","46789"
"2014/03/12 02:11:26","11322","0","85","6358m","962m","1424.00","46790"
"2014/03/12 02:11:29","11322","0","85","6358m","961m","1488.00","46791"
"2014/03/12 02:11:32","11322","0","85","6358m","961m","1440.00","46791"
"2014/03/12 02:11:35","11322","0","85","6358m","961m","1492.00","46791"
"2014/03/12 02:11:39","11322","0","85","6358m","961m","1445.00","46791"
"2014/03/12 02:11:42","11322","0","85","6358m","961m","1472.00","46791"
"2014/03/12 02:11:45","11322","0","85","6358m","961m","1444.00","46791"
"2014/03/12 02:11:48","11322","0","85","6358m","962m","1446.00","46790"
"2014/03/12 02:11:51","11322","0","85","6358m","961m","1487.00","46792"
"2014/03/12 02:11:55","11322","0","85","6358m","961m","1484.00","46790"
"2014/03/12 02:11:58","11322","0","85","6358m","962m","1450.00","46791"
"2014/03/12 02:12:01","11322","0","85","6358m","961m","1494.00","46791"
"2014/03/12 02:12:05","11322","0","85","6358m","961m","1463.00","46791"
"2014/03/12 02:12:08","11322","0","85","6358m","961m","1430.00","46791"
"2014/03/12 02:12:11","11322","0","85","6358m","961m","1429.00","46792"
"2014/03/12 02:12:14","11322","0","85","6358m","961m","1456.00","46790"
"2014/03/12 02:12:18","11322","0","85","6358m","961m","1460.00","46791"
"2014/03/12 02:12:21","11322","0","85","6358m","961m","1447.00","46791"
"2014/03/12 02:12:24","11322","0","85","6358m","961m","1426.00","46791"
"2014/03/12 02:12:27","11322","0","85","6358m","961m","1464.00","46791"
"2014/03/12 02:12:31","11322","0","85","6358m","962m","1450.00","46791"
"2014/03/12 02:12:34","11322","0","85","6358m","962m","1438.00","46790"
"2014/03/12 02:12:37","11322","0","85","6358m","963m","1455.00","46789"
"2014/03/12 02:12:40","11322","0","85","6358m","962m","1454.00","46791"
"2014/03/12 02:12:44","11322","0","85","6358m","962m","1462.00","46791"
"2014/03/12 02:12:47","11322","0","85","6358m","963m","1504.00","46790"
"2014/03/12 02:12:50","11322","0","85","6358m","963m","1470.00","46789"
"2014/03/12 02:12:54","11322","0","85","6358m","963m","1462.00","46789"
"2014/03/12 02:12:57","11322","0","85","6358m","962m","1428.00","46790"
"2014/03/12 02:13:00","11322","0","85","6358m","963m","1486.00","46790"
"2014/03/12 02:13:03","11322","0","85","6358m","964m","1484.00","46788"
"2014/03/12 02:13:07","11322","0","85","6358m","963m","1450.00","46789"
"2014/03/12 02:13:10","11322","0","85","6358m","963m","1469.00","46790"
"2014/03/12 02:13:13","11322","0","85","6358m","963m","1468.00","46789"
"2014/03/12 02:13:16","11322","0","85","6358m","962m","1452.00","46789"
"2014/03/12 02:13:20","11322","0","85","6358m","963m","1482.00","46789"
"2014/03/12 02:13:23","11322","0","85","6358m","963m","1400.00","46790"
"2014/03/12 02:13:26","11322","0","85","6358m","963m","1416.00","46790"
"2014/03/12 02:13:29","11322","0","85","6358m","963m","1440.00","46790"
"2014/03/12 02:13:33","11322","0","85","6358m","965m","1443.00","46788"
"2014/03/12 02:13:36","11322","0","85","6358m","963m","1438.00","46790"
"2014/03/12 02:13:39","11322","0","85","6358m","963m","1458.00","46790"
"2014/03/12 02:13:42","11322","0","85","6358m","963m","1450.00","46789"
"2014/03/12 02:13:46","11322","0","85","6358m","963m","1428.00","46790"
"2014/03/12 02:13:49","11322","0","85","6358m","963m","1469.00","46789"
"2014/03/12 02:13:52","11322","0","85","6358m","963m","1422.00","46790"
"2014/03/12 02:13:55","11322","0","85","6358m","963m","1425.00","46788"
"2014/03/12 02:13:59","11322","0","85","6358m","963m","1466.00","46789"
"2014/03/12 02:14:02","11322","0","85","6358m","963m","1473.00","46789"
"2014/03/12 02:14:05","11322","0","85","6358m","963m","1425.00","46789"
"2014/03/12 02:14:09","11322","0","85","6358m","963m","1478.00","46789"
"2014/03/12 02:14:12","11322","0","85","6358m","966m","1494.00","46785"
"2014/03/12 02:14:15","11322","0","85","6358m","966m","1474.00","46786"
"2014/03/12 02:14:18","11322","0","85","6358m","966m","1438.00","46786"
"2014/03/12 02:14:22","11322","0","85","6358m","967m","1404.00","46786"
