"2014/03/12 06:42:47","5784","0","85","6359m","1.0g","1424.00","46603"
"2014/03/12 06:42:52","5784","0","85","6359m","1.0g","1448.00","46604"
"2014/03/12 06:42:56","5784","0","85","6359m","1.0g","1480.00","46604"
"2014/03/12 06:43:00","5784","0","85","6359m","1.0g","1478.00","46602"
"2014/03/12 06:43:05","5784","0","85","6359m","1.0g","1447.00","46603"
"2014/03/12 06:43:09","5784","0","85","6359m","1.0g","1416.00","46604"
"2014/03/12 06:43:14","5784","0","85","6359m","1.0g","1427.00","46603"
"2014/03/12 06:43:18","5784","0","85","6359m","1.0g","1348.00","46604"
"2014/03/12 06:43:22","5784","0","85","6359m","1.0g","1466.00","46605"
"2014/03/12 06:43:27","5784","0","85","6359m","1.0g","1417.00","46602"
"2014/03/12 06:43:31","5784","0","85","6359m","1.0g","1368.00","46601"
"2014/03/12 06:43:35","5784","0","85","6359m","1.0g","1441.00","46601"
"2014/03/12 06:43:40","5784","0","85","6359m","1.0g","1462.00","46600"
"2014/03/12 06:43:44","5784","0","85","6359m","1.0g","1484.00","46601"
"2014/03/12 06:43:49","5784","0","85","6359m","1.0g","1471.00","46599"
"2014/03/12 06:43:53","5784","0","85","6359m","1.0g","1454.00","46600"
"2014/03/12 06:43:57","5784","0","85","6359m","1.0g","1452.00","46601"
"2014/03/12 06:44:02","5784","0","85","6359m","1.0g","1456.00","46601"
"2014/03/12 06:44:06","5784","0","85","6359m","1.0g","1464.00","46601"
"2014/03/12 06:44:11","5784","0","85","6359m","1.0g","1449.00","46600"
"2014/03/12 06:44:15","5784","0","85","6359m","1.0g","1437.00","46600"
"2014/03/12 06:44:19","5784","0","85","6359m","1.0g","1442.00","46600"
"2014/03/12 06:44:24","5784","0","85","6359m","1.0g","1430.00","46600"
"2014/03/12 06:44:28","5784","0","85","6359m","1.0g","1478.00","46600"
"2014/03/12 06:44:32","5784","0","85","6359m","1.0g","1478.00","46599"
"2014/03/12 06:44:37","5784","0","85","6359m","1.0g","1456.00","46601"
"2014/03/12 06:44:41","5784","0","85","6359m","1.0g","1422.00","46601"
"2014/03/12 06:44:46","5784","0","85","6359m","1.0g","1459.00","46598"
"2014/03/12 06:44:50","5784","0","85","6359m","1.0g","1478.00","46600"
"2014/03/12 06:44:54","5784","0","85","6359m","1.0g","1448.00","46599"
"2014/03/12 06:44:59","5784","0","85","6359m","1.0g","1453.00","46600"
"2014/03/12 06:45:03","5784","0","85","6359m","1.0g","1216.00","46600"
"2014/03/12 06:45:07","5784","0","85","6359m","1.0g","1486.00","46600"
"2014/03/12 06:45:12","5784","0","85","6359m","1.0g","1422.00","46600"
"2014/03/12 06:45:16","5784","0","85","6359m","1.0g","1494.00","46599"
"2014/03/12 06:45:21","5784","0","85","6359m","1.0g","1463.00","46600"
"2014/03/12 06:45:25","5784","0","85","6359m","1.0g","1498.00","46600"
"2014/03/12 06:45:29","5784","0","85","6359m","1.0g","1490.00","46601"
"2014/03/12 06:45:34","5784","0","85","6359m","1.0g","1474.00","46600"
"2014/03/12 06:45:38","5784","0","85","6359m","1.0g","1469.00","46600"
"2014/03/12 06:45:43","5784","0","85","6359m","1.0g","1443.00","46599"
"2014/03/12 06:45:47","5784","0","85","6359m","1.0g","1469.00","46600"
"2014/03/12 06:45:51","5784","0","85","6359m","1.0g","1472.00","46599"
"2014/03/12 06:45:56","5784","0","85","6359m","1.0g","1417.00","46592"
"2014/03/12 06:46:00","5784","0","85","6359m","1.0g","1442.00","46591"
"2014/03/12 06:46:05","5784","0","85","6359m","1.0g","1518.00","46590"
"2014/03/12 06:46:09","5784","0","85","6359m","1.0g","1438.00","46590"
"2014/03/12 06:46:13","5784","0","85","6359m","1.0g","1462.00","46589"
"2014/03/12 06:46:18","5784","0","85","6359m","1.0g","1456.00","46591"
"2014/03/12 06:46:22","5784","0","85","6359m","1.0g","1466.00","46589"
"2014/03/12 06:46:26","5784","0","85","6359m","1.0g","1440.00","46591"
"2014/03/12 06:46:31","5784","0","85","6359m","1.0g","1455.00","46590"
"2014/03/12 06:46:35","5784","0","85","6359m","1.0g","1440.00","46590"
"2014/03/12 06:46:40","5784","0","85","6359m","1.0g","1424.00","46592"
"2014/03/12 06:46:44","5784","0","85","6359m","1.0g","1496.00","46591"
"2014/03/12 06:46:49","5784","0","85","6359m","1.0g","1477.00","46590"
"2014/03/12 06:46:53","5784","0","85","6359m","1.0g","1446.00","46591"
"2014/03/12 06:46:57","5784","0","85","6359m","1.0g","1460.00","46592"
"2014/03/12 06:47:02","5784","0","85","6359m","1.0g","1455.00","46589"
"2014/03/12 06:47:06","5784","0","85","6359m","1.0g","1444.00","46591"
"2014/03/12 06:47:11","5784","0","85","6359m","1.0g","1448.00","46591"
"2014/03/12 06:47:15","5784","0","85","6359m","1.0g","1464.00","46584"
"2014/03/12 06:47:19","5784","0","85","6359m","1.0g","1482.00","46579"
"2014/03/12 06:47:24","5784","0","85","6359m","1.0g","1427.00","46579"
"2014/03/12 06:47:28","5784","0","85","6359m","1.0g","1472.00","46578"
"2014/03/12 06:47:33","5784","0","85","6359m","1.0g","1441.00","46578"
"2014/03/12 06:47:37","5784","0","85","6359m","1.0g","1478.00","46578"
"2014/03/12 06:47:41","5784","0","85","6359m","1.0g","1496.00","46577"
"2014/03/12 06:47:46","5784","0","85","6359m","1.0g","1460.00","46578"
"2014/03/12 06:47:50","5784","0","85","6359m","1.0g","1466.00","46579"
"2014/03/12 06:47:54","5784","0","85","6359m","1.0g","1440.00","46578"
"2014/03/12 06:47:59","5784","0","85","6359m","1.0g","1483.00","46578"
"2014/03/12 06:48:03","5784","0","85","6359m","1.0g","1478.00","46580"
"2014/03/12 06:48:08","5784","0","85","6359m","1.0g","1426.00","46578"
"2014/03/12 06:48:12","5784","0","85","6359m","1.0g","1470.00","46579"
"2014/03/12 06:48:16","5784","0","85","6359m","1.0g","1437.00","46579"
"2014/03/12 06:48:21","5784","0","85","6359m","1.0g","1460.00","46578"
"2014/03/12 06:48:25","5784","0","85","6359m","1.0g","1381.00","46579"
"2014/03/12 06:48:29","5784","0","85","6359m","1.0g","1442.00","46578"
"2014/03/12 06:48:34","5784","0","85","6359m","1.0g","1460.00","46578"
"2014/03/12 06:48:38","5784","0","85","6359m","1.0g","1440.00","46579"
"2014/03/12 06:48:43","5784","0","85","6359m","1.0g","1450.00","46579"
"2014/03/12 06:48:47","5784","0","85","6359m","1.0g","1458.00","46577"
"2014/03/12 06:48:51","5784","0","85","6359m","1.0g","1472.00","46578"
"2014/03/12 06:48:56","5784","0","85","6359m","1.0g","1468.00","46579"
"2014/03/12 06:49:00","5784","0","85","6359m","1.0g","1445.00","46577"
"2014/03/12 06:49:05","5784","0","85","6359m","1.0g","1460.00","46577"
"2014/03/12 06:49:09","5784","0","85","6359m","1.0g","1466.00","46578"
"2014/03/12 06:49:13","5784","0","85","6359m","1.0g","1444.00","46577"
"2014/03/12 06:49:18","5784","0","85","6359m","1.0g","1432.00","46579"
"2014/03/12 06:49:22","5784","0","85","6359m","1.0g","1449.00","46578"
"2014/03/12 06:49:27","5784","0","85","6359m","1.0g","1440.00","46578"
"2014/03/12 06:49:31","5784","0","85","6359m","1.0g","1460.00","46578"
"2014/03/12 06:49:36","5784","0","85","6359m","1.0g","1476.00","46578"
"2014/03/12 06:49:40","5784","0","85","6359m","1.0g","1464.00","46579"
"2014/03/12 06:49:45","5784","0","85","6359m","1.0g","1461.00","46579"
"2014/03/12 06:49:49","5784","0","85","6359m","1.0g","1446.00","46578"
"2014/03/12 06:49:53","5784","0","85","6359m","1.0g","1426.00","46578"
"2014/03/12 06:49:58","5784","0","85","6359m","1.0g","1474.00","46579"
"2014/03/12 06:50:02","5784","0","85","6359m","1.0g","1464.00","46580"
"2014/03/12 06:50:06","5784","0","85","6359m","1.0g","1440.00","46579"
"2014/03/12 06:50:11","5784","0","85","6359m","1.0g","1462.00","46578"
"2014/03/12 06:50:15","5784","0","85","6359m","1.0g","1461.00","46578"
"2014/03/12 06:50:20","5784","0","85","6359m","1.0g","1442.00","46579"
"2014/03/12 06:50:24","5784","0","85","6359m","1.0g","1424.00","46569"
"2014/03/12 06:50:28","5784","0","85","6359m","1.0g","1476.00","46570"
"2014/03/12 06:50:33","5784","0","85","6359m","1.0g","1476.00","46567"
"2014/03/12 06:50:37","5784","0","85","6359m","1.0g","1478.00","46567"
"2014/03/12 06:50:42","5784","0","85","6359m","1.0g","1442.00","46567"
"2014/03/12 06:50:46","5784","0","85","6359m","1.0g","1444.00","46566"
"2014/03/12 06:50:50","5784","0","85","6359m","1.0g","1426.00","46562"
"2014/03/12 06:50:55","5784","0","85","6359m","1.0g","1482.00","46561"
"2014/03/12 06:50:59","5784","0","85","6359m","1.0g","1468.00","46563"
"2014/03/12 06:51:04","5784","0","85","6359m","1.0g","1469.00","46562"
"2014/03/12 06:51:08","5784","0","85","6359m","1.0g","1440.00","46562"
"2014/03/12 06:51:12","5784","0","85","6359m","1.0g","1472.00","46563"
"2014/03/12 06:51:17","5784","0","85","6359m","1.0g","1438.00","46563"
"2014/03/12 06:51:21","5784","0","85","6359m","1.0g","1456.00","46562"
"2014/03/12 06:51:26","5784","0","85","6359m","1.0g","1481.00","46562"
"2014/03/12 06:51:30","5784","0","85","6359m","1.0g","1466.00","46562"
"2014/03/12 06:51:34","5784","0","85","6359m","1.0g","1457.00","46563"
"2014/03/12 06:51:39","5784","0","85","6359m","1.0g","1452.00","46562"
"2014/03/12 06:51:43","5784","0","85","6359m","1.0g","1492.00","46562"
"2014/03/12 06:51:47","5784","0","85","6359m","1.0g","1428.00","46562"
"2014/03/12 06:51:52","5784","0","85","6359m","1.0g","1504.00","46561"
"2014/03/12 06:51:56","5784","0","85","6359m","1.0g","1481.00","46562"
"2014/03/12 06:52:01","5784","0","85","6359m","1.0g","1478.00","46562"
"2014/03/12 06:52:05","5784","0","85","6359m","1.0g","1468.00","46562"
"2014/03/12 06:52:09","5784","0","85","6359m","1.0g","1404.00","46561"
"2014/03/12 06:52:14","5784","0","85","6359m","1.0g","1462.00","46562"
"2014/03/12 06:52:18","5784","0","85","6359m","1.0g","1369.00","46563"
"2014/03/12 06:52:23","5784","0","85","6359m","1.0g","1473.00","46562"
"2014/03/12 06:52:27","5784","0","85","6359m","1.0g","1431.00","46562"
"2014/03/12 06:52:31","5784","0","85","6359m","1.0g","1437.00","46563"
"2014/03/12 06:52:36","5784","0","85","6359m","1.0g","1449.00","46558"
"2014/03/12 06:52:40","5784","0","85","6359m","1.0g","1441.00","46558"
"2014/03/12 06:52:44","5784","0","85","6359m","1.0g","1458.00","46558"
"2014/03/12 06:52:49","5784","0","85","6359m","1.0g","1465.00","46558"
"2014/03/12 06:52:53","5784","0","85","6359m","1.0g","1432.00","46557"
"2014/03/12 06:52:58","5784","0","85","6359m","1.0g","1446.00","46558"
"2014/03/12 06:53:02","5784","0","85","6359m","1.0g","1418.00","46558"
"2014/03/12 06:53:06","5784","0","85","6359m","1.0g","1450.00","46558"
"2014/03/12 06:53:11","5784","0","85","6359m","1.0g","1470.00","46559"
"2014/03/12 06:53:15","5784","0","85","6359m","1.0g","1495.00","46558"
"2014/03/12 06:53:20","5784","0","85","6359m","1.0g","1420.00","46558"
"2014/03/12 06:53:24","5784","0","85","6359m","1.0g","1481.00","46558"
"2014/03/12 06:53:29","5784","0","85","6359m","1.0g","1438.00","46558"
"2014/03/12 06:53:33","5784","0","85","6359m","1.0g","1448.00","46557"
"2014/03/12 06:53:37","5784","0","85","6359m","1.0g","1440.00","46558"
"2014/03/12 06:53:42","5784","0","85","6359m","1.0g","1438.00","46559"
"2014/03/12 06:53:46","5784","0","85","6359m","1.0g","1464.00","46558"
"2014/03/12 06:53:50","5784","0","85","6359m","1.0g","1467.00","46558"
"2014/03/12 06:53:55","5784","0","85","6359m","1.0g","1466.00","46558"
"2014/03/12 06:53:59","5784","0","85","6359m","1.0g","1475.00","46559"
"2014/03/12 06:54:03","5784","0","85","6359m","1.0g","1276.00","46556"
"2014/03/12 06:54:08","5784","0","85","6359m","1.0g","1474.00","46559"
"2014/03/12 06:54:12","5784","0","85","6359m","1.0g","1484.00","46558"
"2014/03/12 06:54:17","5784","0","85","6359m","1.0g","1470.00","46557"
"2014/03/12 06:54:21","5784","0","85","6359m","1.0g","1414.00","46558"
"2014/03/12 06:54:26","5784","0","85","6359m","1.0g","1438.00","46558"
"2014/03/12 06:54:30","5784","0","85","6359m","1.0g","1464.00","46558"
"2014/03/12 06:54:34","5784","0","85","6359m","1.0g","1460.00","46556"
"2014/03/12 06:54:39","5784","0","85","6359m","1.0g","1414.00","46558"
"2014/03/12 06:54:43","5784","0","85","6359m","1.0g","1469.00","46558"
"2014/03/12 06:54:47","5784","0","85","6359m","1.0g","1462.00","46557"
"2014/03/12 06:54:52","5784","0","85","6359m","1.0g","1446.00","46555"
"2014/03/12 06:54:56","5784","0","85","6359m","1.0g","1473.00","46553"
"2014/03/12 06:55:01","5784","0","85","6359m","1.0g","1448.00","46553"
"2014/03/12 06:55:05","5784","0","85","6359m","1.0g","1418.00","46554"
"2014/03/12 06:55:09","5784","0","85","6359m","1.0g","1444.00","46554"
"2014/03/12 06:55:14","5784","0","85","6359m","1.0g","1456.00","46554"
"2014/03/12 06:55:18","5784","0","85","6359m","1.0g","1463.00","46554"
"2014/03/12 06:55:22","5784","0","85","6359m","1.0g","1428.00","46550"
"2014/03/12 06:55:27","5784","0","85","6359m","1.0g","1464.00","46551"
"2014/03/12 06:55:31","5784","0","85","6359m","1.1g","1442.00","46547"
"2014/03/12 06:55:36","5784","0","85","6359m","1.1g","1472.00","46547"
