"2014/03/12 03:48:47","19422","0","444","7008m","261m","385.00","47475"
"2014/03/12 03:48:49","19422","0","444","7076m","532m","1186.00","47204"
"2014/03/12 03:48:50","19422","0","444","7110m","768m","1439.00","46934"
"2014/03/12 03:48:52","19422","0","444","7239m","1.1g","1351.00","46608"
"2014/03/12 03:48:54","19422","0","444","7725m","1.5g","1190.00","46147"
"2014/03/12 03:48:55","19422","0","444","8064m","2.0g","1282.00","45658"
"2014/03/12 03:48:57","19422","0","444","8490m","2.2g","1485.00","45484"
"2014/03/12 03:48:58","19422","0","444","8495m","2.3g","1482.00","45398"
"2014/03/12 03:49:00","19422","0","444","8495m","2.3g","1435.00","45388"
"2014/03/12 03:49:01","19422","0","444","8495m","2.3g","1449.00","45360"
"2014/03/12 03:49:03","19422","0","444","8495m","2.3g","1473.00","45343"
"2014/03/12 03:49:05","19422","0","444","8495m","2.3g","1443.00","45344"
"2014/03/12 03:49:06","19422","0","444","8495m","2.3g","1463.00","45339"
"2014/03/12 03:49:08","19422","0","444","8565m","2.3g","1278.00","45332"
"2014/03/12 03:49:09","19422","0","444","8565m","2.3g","1454.00","45330"
"2014/03/12 03:49:11","19422","0","444","8565m","2.3g","1469.00","45331"
"2014/03/12 03:49:13","19422","0","444","8501m","2.3g","1453.00","45331"
"2014/03/12 03:49:14","19422","0","444","8501m","2.3g","1403.00","45333"
"2014/03/12 03:49:16","19422","0","444","8501m","2.3g","1433.00","45332"
"2014/03/12 03:49:17","19422","0","444","8501m","2.3g","1416.00","45333"
"2014/03/12 03:49:19","19422","0","444","8501m","2.3g","1397.00","45334"
"2014/03/12 03:49:21","19422","0","444","8494m","2.3g","1430.00","45342"
"2014/03/12 03:49:22","19422","0","444","8494m","2.3g","1424.00","45341"
"2014/03/12 03:49:24","19422","0","444","8463m","2.3g","1427.00","45340"
"2014/03/12 03:49:25","19422","0","444","8495m","2.3g","1443.00","45338"
"2014/03/12 03:49:27","19422","0","444","8495m","2.3g","1421.00","45338"
"2014/03/12 03:49:28","19422","0","444","8495m","2.3g","1439.00","45338"
"2014/03/12 03:49:30","19422","0","444","8495m","2.3g","1424.00","45338"
"2014/03/12 03:49:31","19422","0","444","8495m","2.3g","1417.00","45340"
"2014/03/12 03:49:33","19422","0","444","8495m","2.3g","1416.00","45340"
"2014/03/12 03:49:35","19422","0","444","8495m","2.3g","1447.00","45339"
"2014/03/12 03:49:36","19422","0","444","8495m","2.3g","1431.00","45338"
"2014/03/12 03:49:38","19422","0","444","8495m","2.3g","1481.00","45339"
"2014/03/12 03:49:39","19422","0","444","8495m","2.3g","1430.00","45339"
"2014/03/12 03:49:41","19422","0","444","8495m","2.3g","1391.00","45339"
"2014/03/12 03:49:42","19422","0","444","8494m","2.3g","1459.00","45338"
"2014/03/12 03:49:44","19422","0","444","8494m","2.3g","1433.00","45339"
"2014/03/12 03:49:46","19422","0","444","8494m","2.3g","1426.00","45337"
"2014/03/12 03:49:47","19422","0","444","8495m","2.3g","1391.00","45336"
"2014/03/12 03:49:49","19422","0","444","8495m","2.3g","1446.00","45337"
"2014/03/12 03:49:50","19422","0","444","8495m","2.3g","1457.00","45337"
"2014/03/12 03:49:52","19422","0","444","8495m","2.3g","1421.00","45337"
"2014/03/12 03:49:53","19422","0","444","8495m","2.3g","1427.00","45337"
"2014/03/12 03:49:55","19422","0","444","8495m","2.3g","1450.00","45337"
"2014/03/12 03:49:57","19422","0","444","8495m","2.3g","1467.00","45336"
"2014/03/12 03:49:58","19422","0","444","8495m","2.3g","1391.00","45336"
"2014/03/12 03:50:00","19422","0","444","8495m","2.3g","1436.00","45336"
"2014/03/12 03:50:01","19422","0","444","8495m","2.3g","1411.00","45336"
"2014/03/12 03:50:03","19422","0","444","8495m","2.3g","1356.00","45336"
"2014/03/12 03:50:05","19422","0","444","8494m","2.3g","1440.00","45338"
"2014/03/12 03:50:06","19422","0","444","8494m","2.3g","1436.00","45337"
"2014/03/12 03:50:08","19422","0","444","8494m","2.3g","1114.00","45336"
"2014/03/12 03:50:09","19422","0","444","8494m","2.3g","1451.00","45335"
"2014/03/12 03:50:11","19422","0","444","8558m","2.3g","1471.00","45338"
"2014/03/12 03:50:12","19422","0","444","8494m","2.3g","1417.00","45335"
"2014/03/12 03:50:14","19422","0","444","8495m","2.3g","1387.00","45334"
"2014/03/12 03:50:15","19422","0","444","8495m","2.3g","1377.00","45332"
"2014/03/12 03:50:17","19422","0","444","8559m","2.3g","1404.00","45334"
"2014/03/12 03:50:19","19422","0","444","8495m","2.3g","1435.00","45334"
"2014/03/12 03:50:20","19422","0","444","8495m","2.3g","1411.00","45335"
"2014/03/12 03:50:22","19422","0","444","8494m","2.3g","1423.00","45336"
"2014/03/12 03:50:23","19422","0","444","8495m","2.3g","1403.00","45333"
"2014/03/12 03:50:25","19422","0","444","8495m","2.3g","1435.00","45332"
"2014/03/12 03:50:26","19422","0","444","8495m","2.3g","1417.00","45330"
"2014/03/12 03:50:28","19422","0","444","8495m","2.3g","1474.00","45331"
"2014/03/12 03:50:30","19422","0","444","8495m","2.3g","1453.00","45330"
"2014/03/12 03:50:31","19422","0","444","8495m","2.3g","1447.00","45331"
"2014/03/12 03:50:33","19422","0","444","8495m","2.3g","1468.00","45330"
"2014/03/12 03:50:34","19422","0","444","8495m","2.3g","1441.00","45329"
"2014/03/12 03:50:36","19422","0","444","8495m","2.3g","1431.00","45332"
"2014/03/12 03:50:37","19422","0","444","8495m","2.3g","1443.00","45332"
"2014/03/12 03:50:39","19422","0","444","8495m","2.3g","1408.00","45331"
"2014/03/12 03:50:41","19422","0","444","8494m","2.3g","1430.00","45330"
"2014/03/12 03:50:42","19422","0","444","8559m","2.3g","1442.00","45329"
"2014/03/12 03:50:44","19422","0","444","8495m","2.3g","1429.00","45327"
"2014/03/12 03:50:45","19422","0","444","8495m","2.3g","1381.00","45328"
"2014/03/12 03:50:47","19422","0","444","8495m","2.3g","1423.00","45328"
"2014/03/12 03:50:48","19422","0","444","8494m","2.3g","1418.00","45330"
"2014/03/12 03:50:50","19422","0","444","8494m","2.3g","1479.00","45328"
"2014/03/12 03:50:51","19422","0","444","8494m","2.3g","1427.00","45328"
"2014/03/12 03:50:53","19422","0","444","8494m","2.4g","1284.00","45323"
"2014/03/12 03:50:55","19422","0","444","8494m","2.4g","1400.00","45322"
"2014/03/12 03:50:56","19422","0","444","8495m","2.4g","1451.00","45322"
"2014/03/12 03:50:58","19422","0","444","8495m","2.4g","1429.00","45322"
"2014/03/12 03:50:59","19422","0","444","8495m","2.4g","1431.00","45321"
"2014/03/12 03:51:01","19422","0","444","8494m","2.4g","1447.00","45324"
"2014/03/12 03:51:02","19422","0","444","8494m","2.4g","1449.00","45323"
"2014/03/12 03:51:04","19422","0","444","8494m","2.4g","1429.00","45323"
"2014/03/12 03:51:05","19422","0","444","8494m","2.4g","1453.00","45320"
"2014/03/12 03:51:07","19422","0","444","8495m","2.4g","1446.00","45322"
"2014/03/12 03:51:09","19422","0","444","8495m","2.4g","1463.00","45320"
"2014/03/12 03:51:10","19422","0","444","8495m","2.4g","1435.00","45320"
"2014/03/12 03:51:12","19422","0","444","8495m","2.4g","1447.00","45319"
"2014/03/12 03:51:13","19422","0","444","8495m","2.4g","1430.00","45319"
"2014/03/12 03:51:15","19422","0","444","8495m","2.4g","1476.00","45320"
