"2014/03/12 19:04:46","9300","0","444","6842m","679m","765.00","47049"
"2014/03/12 19:04:48","9300","0","444","6906m","680m","774.00","47048"
"2014/03/12 19:04:50","9300","0","444","6907m","687m","763.00","47040"
"2014/03/12 19:04:51","9300","0","444","6971m","686m","779.00","47042"
"2014/03/12 19:04:53","9300","0","444","6971m","683m","775.00","47043"
"2014/03/12 19:04:54","9300","0","444","6971m","684m","777.00","47044"
"2014/03/12 19:04:56","9300","0","444","6971m","684m","775.00","47044"
"2014/03/12 19:04:57","9300","0","444","6971m","684m","775.00","47044"
"2014/03/12 19:04:59","9300","0","444","6971m","684m","776.00","47043"
"2014/03/12 19:05:00","9300","0","444","6971m","686m","777.00","47040"
"2014/03/12 19:05:02","9300","0","444","6971m","684m","775.00","47042"
"2014/03/12 19:05:03","9300","0","444","6971m","685m","786.00","47041"
"2014/03/12 19:05:05","9300","0","444","6971m","686m","760.00","47042"
"2014/03/12 19:05:07","9300","0","444","6971m","693m","780.00","47033"
"2014/03/12 19:05:08","9300","0","444","6971m","693m","776.00","47033"
"2014/03/12 19:05:10","9300","0","444","6971m","693m","778.00","47033"
"2014/03/12 19:05:11","9300","0","444","6971m","689m","776.00","47038"
"2014/03/12 19:05:13","9300","0","444","6971m","688m","780.00","47036"
"2014/03/12 19:05:14","9300","0","444","6970m","687m","769.00","47037"
"2014/03/12 19:05:16","9300","0","444","6970m","687m","770.00","47036"
"2014/03/12 19:05:17","9300","0","444","6970m","687m","773.00","47036"
"2014/03/12 19:05:19","9300","0","444","6970m","687m","772.00","47039"
"2014/03/12 19:05:20","9300","0","444","6970m","686m","778.00","47038"
"2014/03/12 19:05:22","9300","0","444","6970m","687m","780.00","47039"
"2014/03/12 19:05:23","9300","0","444","6970m","687m","776.00","47038"
"2014/03/12 19:05:25","9300","0","444","6970m","687m","786.00","47037"
"2014/03/12 19:05:27","9300","0","444","6970m","687m","780.00","47037"
"2014/03/12 19:05:28","9300","0","444","6970m","687m","778.00","47038"
"2014/03/12 19:05:30","9300","0","444","6970m","687m","778.00","47037"
"2014/03/12 19:05:31","9300","0","444","6970m","687m","767.00","47038"
"2014/03/12 19:05:33","9300","0","444","6970m","686m","777.00","47038"
"2014/03/12 19:05:34","9300","0","444","6970m","687m","772.00","47037"
"2014/03/12 19:05:36","9300","0","444","7034m","687m","775.00","47038"
"2014/03/12 19:05:37","9300","0","444","6970m","687m","776.00","47038"
"2014/03/12 19:05:39","9300","0","444","6970m","687m","779.00","47038"
"2014/03/12 19:05:40","9300","0","444","6970m","687m","774.00","47038"
"2014/03/12 19:05:42","9300","0","444","6970m","687m","773.00","47037"
"2014/03/12 19:05:44","9300","0","444","6970m","687m","772.00","47036"
"2014/03/12 19:05:45","9300","0","444","6970m","687m","774.00","47037"
"2014/03/12 19:05:47","9300","0","444","6970m","687m","774.00","47037"
"2014/03/12 19:05:48","9300","0","444","6970m","687m","753.00","47038"
"2014/03/12 19:05:50","9300","0","444","6970m","687m","759.00","47038"
"2014/03/12 19:05:51","9300","0","444","6970m","687m","775.00","47036"
"2014/03/12 19:05:53","9300","0","444","6970m","686m","774.00","47037"
"2014/03/12 19:05:54","9300","0","444","6970m","687m","772.00","47038"
"2014/03/12 19:05:56","9300","0","444","6970m","687m","781.00","47038"
"2014/03/12 19:05:57","9300","0","444","6970m","687m","772.00","47037"
"2014/03/12 19:05:59","9300","0","444","6970m","687m","783.00","47037"
"2014/03/12 19:06:00","9300","0","444","6970m","687m","771.00","47036"
"2014/03/12 19:06:02","9300","0","444","6970m","687m","777.00","47037"
"2014/03/12 19:06:04","9300","0","444","6970m","687m","765.00","47036"
"2014/03/12 19:06:05","9300","0","444","6970m","687m","773.00","47038"
"2014/03/12 19:06:07","9300","0","444","6970m","687m","774.00","47037"
"2014/03/12 19:06:08","9300","0","444","6970m","687m","521.00","47036"
"2014/03/12 19:06:10","9300","0","444","6970m","687m","367.00","47037"
"2014/03/12 19:06:11","9300","0","444","6970m","687m","775.00","47036"
"2014/03/12 19:06:13","9300","0","444","6970m","687m","775.00","47037"
"2014/03/12 19:06:14","9300","0","444","6970m","688m","770.00","47036"
"2014/03/12 19:06:16","9300","0","444","6970m","687m","780.00","47037"
"2014/03/12 19:06:17","9300","0","444","6970m","687m","774.00","47036"
"2014/03/12 19:06:19","9300","0","444","6970m","688m","778.00","47038"
"2014/03/12 19:06:21","9300","0","444","6970m","688m","773.00","47037"
"2014/03/12 19:06:22","9300","0","444","6970m","688m","784.00","47036"
"2014/03/12 19:06:24","9300","0","444","6970m","688m","776.00","47037"
"2014/03/12 19:06:25","9300","0","444","6970m","689m","781.00","47036"
"2014/03/12 19:06:27","9300","0","444","6970m","689m","774.00","47036"
"2014/03/12 19:06:28","9300","0","444","6970m","688m","780.00","47037"
"2014/03/12 19:06:30","9300","0","444","6970m","688m","778.00","47036"
"2014/03/12 19:06:31","9300","0","444","6970m","688m","782.00","47037"
"2014/03/12 19:06:33","9300","0","444","6970m","688m","781.00","47037"
"2014/03/12 19:06:34","9300","0","444","6970m","689m","778.00","47035"
"2014/03/12 19:06:36","9300","0","444","6970m","689m","780.00","47036"
"2014/03/12 19:06:37","9300","0","444","6970m","689m","778.00","47035"
"2014/03/12 19:06:39","9300","0","444","6970m","689m","779.00","47035"
"2014/03/12 19:06:41","9300","0","444","6970m","689m","778.00","47037"
"2014/03/12 19:06:42","9300","0","444","6970m","689m","774.00","47035"
"2014/03/12 19:06:44","9300","0","444","6970m","689m","770.00","47036"
"2014/03/12 19:06:45","9300","0","444","6970m","689m","776.00","47035"
"2014/03/12 19:06:47","9300","0","444","6970m","690m","773.00","47035"
"2014/03/12 19:06:48","9300","0","444","6970m","689m","777.00","47036"
"2014/03/12 19:06:50","9300","0","444","6970m","689m","601.00","47036"
"2014/03/12 19:06:51","9300","0","444","6970m","690m","781.00","47035"
"2014/03/12 19:06:53","9300","0","444","6970m","690m","771.00","47036"
"2014/03/12 19:06:54","9300","0","444","6970m","690m","776.00","47034"
"2014/03/12 19:06:56","9300","0","444","6970m","690m","773.00","47035"
"2014/03/12 19:06:58","9300","0","444","6970m","690m","770.00","47036"
"2014/03/12 19:06:59","9300","0","444","6970m","690m","776.00","47035"
"2014/03/12 19:07:01","9300","0","444","6970m","690m","786.00","47034"
"2014/03/12 19:07:02","9300","0","444","6970m","690m","771.00","47035"
"2014/03/12 19:07:04","9300","0","444","6971m","687m","778.00","47037"
"2014/03/12 19:07:05","9300","0","444","6971m","689m","772.00","47035"
"2014/03/12 19:07:07","9300","0","444","6971m","689m","791.00","47034"
"2014/03/12 19:07:08","9300","0","444","6971m","689m","777.00","47035"
"2014/03/12 19:07:10","9300","0","444","6971m","690m","783.00","47036"
"2014/03/12 19:07:11","9300","0","444","6971m","689m","774.00","47035"
"2014/03/12 19:07:13","9300","0","444","6970m","687m","780.00","47037"
"2014/03/12 19:07:14","9300","0","444","6970m","688m","784.00","47036"
