"2014/03/12 19:30:10","4773","0","444","6566m","161m","1158.00","47473"
"2014/03/12 19:30:11","4773","0","444","6630m","162m","1152.00","47469"
"2014/03/12 19:30:13","4773","0","444","6630m","163m","1162.00","47470"
"2014/03/12 19:30:14","4773","0","444","6599m","164m","1134.00","47468"
"2014/03/12 19:30:16","4773","0","444","6630m","164m","1148.00","47469"
"2014/03/12 19:30:18","4773","0","444","6630m","164m","1160.00","47466"
"2014/03/12 19:30:19","4773","0","444","6630m","164m","1140.00","47468"
"2014/03/12 19:30:21","4773","0","444","6630m","164m","1150.00","47468"
"2014/03/12 19:30:22","4773","0","444","6630m","164m","1140.00","47468"
"2014/03/12 19:30:24","4773","0","444","6630m","165m","1174.00","47468"
"2014/03/12 19:30:25","4773","0","444","6630m","165m","1134.00","47438"
"2014/03/12 19:30:27","4773","0","444","6630m","165m","1154.00","47470"
"2014/03/12 19:30:28","4773","0","444","6630m","166m","1152.00","47468"
"2014/03/12 19:30:30","4773","0","444","6630m","166m","1164.00","47468"
"2014/03/12 19:30:32","4773","0","444","6630m","166m","1131.00","47467"
"2014/03/12 19:30:33","4773","0","444","6630m","166m","1143.00","47468"
"2014/03/12 19:30:35","4773","0","444","6630m","166m","994.00","47466"
"2014/03/12 19:30:36","4773","0","444","6630m","166m","1168.00","47467"
"2014/03/12 19:30:38","4773","0","444","6599m","167m","1152.00","47466"
"2014/03/12 19:30:39","4773","0","444","6630m","169m","1189.00","47467"
"2014/03/12 19:30:41","4773","0","444","6630m","166m","1213.00","47466"
"2014/03/12 19:30:43","4773","0","444","6630m","167m","1199.00","47466"
"2014/03/12 19:30:44","4773","0","444","6630m","167m","1180.00","47466"
"2014/03/12 19:30:46","4773","0","444","6630m","167m","1170.00","47467"
"2014/03/12 19:30:47","4773","0","444","6630m","167m","1185.00","47466"
"2014/03/12 19:30:49","4773","0","444","6630m","167m","1172.00","47467"
"2014/03/12 19:30:50","4773","0","444","6630m","167m","1124.00","47465"
"2014/03/12 19:30:52","4773","0","444","6630m","167m","1208.00","47466"
"2014/03/12 19:30:53","4773","0","444","6630m","167m","0.00","47468"
